date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:37	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%225fc63e28-1e954%22	https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/remixicon/remixicondf6d.woff2	(from https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.css)
23:32:38	172876/172876	---M--	200	added ('OK')	font/woff	etag:%225fc63e28-2a34c%22	https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.woff?t=1590207869815	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/remixicon/remixicondf6d.woff	(from https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.css)
23:32:38	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%225fc63e28-62670%22	https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/remixicon/remixicondf6d.ttf	(from https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.css)
23:32:39	1195522/1195522	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225fc63e28-123e02%22	https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.svg?t=1590207869815	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/remixicon/remixicondf6d.svg	(from https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.css)
23:32:39	4976/4976	---M--	200	added ('OK')	image/png	etag:%225fc63e28-1370%22	https://sadeeqakintola.com/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/owl.carousel/assets/owl.video.play.png	(from https://sadeeqakintola.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
23:32:40	273536/273536	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fc63e28-42c80%22	https://sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.eot	(from https://sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css)
23:32:41	93260/93260	---M--	200	added ('OK')	font/woff2	etag:%225fc63e28-16c4c%22	https://sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css)
23:32:43	273368/273368	---M-Z	200	added ('OK')	font/ttf	etag:W/%225fc63e28-42bd8%22	https://sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css)
23:32:44	273444/273444	---M--	200	added ('OK')	font/woff	etag:%225fc63e28-42c24%22	https://sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.woff	(from https://sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css)
23:32:45	975365/975365	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225fc63e28-ee205%22	https://sadeeqakintola.com/assets/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css)
23:32:46	104237/104237	---M--	200	added ('OK')	image/jpeg	etag:%225fc63e28-1972d%22	https://sadeeqakintola.com/assets/img/portfolio/portfolio-details-1.jpg	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/img/portfolio/portfolio-details-1.jpg	(from https://sadeeqakintola.com/portfolio-details.html)
23:32:47	131936/131936	---M--	200	added ('OK')	image/jpeg	etag:%225fc63e28-20360%22	https://sadeeqakintola.com/assets/img/portfolio/portfolio-details-2.jpg	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/img/portfolio/portfolio-details-2.jpg	(from https://sadeeqakintola.com/portfolio-details.html)
23:32:48	40694/40694	---M--	200	added ('OK')	image/jpeg	etag:%225fc63e28-9ef6%22	https://sadeeqakintola.com/assets/img/portfolio/portfolio-details-3.jpg	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/img/portfolio/portfolio-details-3.jpg	(from https://sadeeqakintola.com/portfolio-details.html)
23:33:21	10294866/10294866	---M--	200	added ('OK')	image/jpeg	etag:%225fc63e28-9d1652%22	https://sadeeqakintola.com/assets/img/intro-bg.jpg	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/img/intro-bg.jpg	(from https://sadeeqakintola.com/assets/css/style.css)
